nl_clip,regexp
words that start with string 'a' and contain substrings 'bro' or 'abr',a(?:abr(?:o[ow]|o|u)|bro(?:[ou])?)
words that start with string 'a' and contain substrings 'd' followed by string 'b' end with string 'bajah' or string 'baja',(?:A(?:da(?:ab Bajah?|b baja)|adaab Baja)|adab)
words that start with string 'aad' or 'ad' and contain substring 'lana',A(?:(?:adh|d)lanah|adlanah?)
words that start with string 'a' must contain string 'g' and end with string 'ah' or 'a',A(?:ag(?:a(?:(?:aha|h)|(?:ah)?)|hah)|ghah)
words that start with string 'ag' or 'aag' and end with string 'hi' or 'he',A(?:ag(?:ah(?:(?:iyy|e)|i)|h(?:ah|i)i)|gahe)
words that start with string 'aag' or 'ag' and contain substring 'h' and end with string 'z',A(?:ag(?:h(?:aa?z|za)|aaz)|ghaa?z)
words that start with string 'ag' or 'aag' and contain substring 'guft' and end with string 'gu',A(?:aghaz E Gufta|g(?:ha)?az e guft)gu
words that start with string 'a' and contain substring 'j' end at substring 'zana',a(?:aji|ji?)zana
words that start with string 'aj' or 'aaj' and contain substring 'zana' and 'anda',A(?:ajizana Anda|jzana And)az
words that start with 'aj' or 'aaj' and end with string 'zi' or 'ze',A(?:a?zee|ajzi|jizi)
words that start with string 'aa' and end with string 'a' or 'ah',Aalah?
words that start with 'al' or 'aal' and contain substring 'iqtid' and end with string 'ar',A(?:ala Iqtidaa?r|la (?:Iqtidaa?r|iqtidar))
words that start with 'aal' and end with string 'i' or 'e' or 'y',Aal(?:eey?|i)
words that start with 'aal' and contain substring 'himmat',A(?:al(?:ee Himmat|i Himmat)|l(?:ee|i) Himmat)
words that start with string 'aal' or 'al' and end with string 'zarf',A(?:al(?:(?:ee|i)|e) Zarf|l(?:ee|i) Zarf)
words that start with string 'aal' and end with string 'm',Aal(?:ime?|eem)
words that start with string 'aan' or 'an' and contain substring 'fan' and end with string 'n',A(?:an(?:an Fana|un Fanu)n|nan Fanan)
words that start with string 'ap' or 'aap' and end with string 's',A(?:ap[au]s|(?:p[ai]|p)s)
words that start with string 'ap' or 'aap' and end with substring 'dari',A(?:apas Da|pa?s D)ari
words that start with string 'aap' and contain substrings 'as' and 'k',Aapas(?:k(?:ah|a?)| Ka)
words that start with string 'aaq' or 'aq' and end with string 'l',A(?:aq[ei]l|q[ei]l)
words that start with string 'aq' or 'aaq' and contain substring 'lan',A(?:(?:qilann?|(?:k[iy]|qy)lan)|aqilan)a
words that start with string 'ar' or 'aar' and contain substring 'm s',A(?:ara(?:am Sa|m S)y|raa?m Sy)
words that start with string 'ar' or 'aar' and end with string 'm',A(?:raa?|ara)m
words that start with string 'aar' or 'ar' and contain substring 'sta',A(?:ara?sta|ra?sta)
words that start with string 'aas' or 'as' and end with string 'n',A(?:asaa?n|ss?an)
words that start with string 'a' and end with string 'saish',Aa?saish
words that start with string 'aas' or 'as' and contain substring 'ni' and end with string 'say' or 'sy' or 'se',A(?:sa(?:(?:ani Sei |ni Sy)|ani Se)|asani Se)
