nl_clip,regexp
words that start with  'a' and followed by 'bro' or 'abr',a.*(?:bro|abr)
words that start with  'a' and followed by 'd' and followed by  'b' end with  'bajah' or  'baja',a.*d.*(?:b|bajah|baja)
words that start with  'aad' or 'ad' and followed by 'lana',(?:aad|ad).*lana
words that start with  'a' and followed by 'g' and end with  'ah' or 'a',a.*g.*(?:a|ah)
words that start with  'ag' or 'aag' and end with  'hi' or 'he',(?:ag|aag).*(?:hi|he)
words that start with  'aag' or 'ag' and followed by 'h' and end with  'z',(?:aag|ag).*h.*z
words that start with  'ag' or 'aag' and followed by 'guft' and end with  'gu',(?:ag|aag).*guft.*gu
words that start with  'a' and followed by 'j' and end at sub 'zana',a.*j.*zana
words that start with  'aj' or 'aaj' and followed by 'zana' and 'anda',(?:aj|aaj).*zana.*anda
words that start with 'aj' or 'aaj' and end with  'zi' or 'ze',(?:aj|aaj).*(?:zi|ze)
words that start with  'aa' and end with  'a' or 'ah',aa.*(?:a|ah)
words that start with 'al' or 'aal' and followed by 'iqtid' and end with  'ar',(?:al|aal).*iqtid.*ar
words that start with 'aal' and end with  'i' or 'e' or 'y',aal.*[iey]
words that start with 'aal' and followed by 'himmat',aal.*himmat
words that start with  'aal' or 'al' and end with  'zarf',(?:aal|al).*zarf
words that start with  'aal' and end with  'm',aal.*m
words that start with  'aan' or 'an' and followed by 'fan' and end with  'n',(?:aan|an).*fan.*n
words that start with  'ap' or 'aap' and end with  's',(?:ap|aap).*s
words that start with  'ap' or 'aap' and end with sub 'dari',(?:ap|aap).*dari
words that start with  'aap' and followed by 'as' and 'k',aap.*as.*k
words that start with  'aaq' or 'aq' and end with  'l',(?:aaq|aq).*l
words that start with  'aq' or 'aaq' and followed by 'lan',(?:aq|aaq).*lan
words that start with  'ar' or 'aar' and followed by 'm s',(?:ar|aar).*m s
words that start with  'ar' or 'aar' and end with  'm',(?:ar|aar).*m
words that start with  'aar' or 'ar' and followed by 'sta',(?:aar|ar).*sta
words that start with  'aas' or 'as' and end with  'n',(?:aas|as).*n
words that start with  'a' and end with  'saish',a.*saish
words that start with  'aas' or 'as' and followed by 'ni' and end with  'say' or 'sy' or 'se',(?:aas|as).*ni.*(?:say|sy|se)
words that start with  'a' and followed by 'sh' and end with  'q',a.*sh.*q
words that start with  'a' and followed by 'sh' and 'q' and 'miz' or 'maz' and end with  'aj',a.*sh.*q.*(?:miz|maz).*aj
words that start with  'a' and followed by 'sh' and end with  'qana',a.*sh.*qana
words that start with  'a' and followed by 'sh' and end with  'qi',a.*sh.*qi
words that start with  'a' and followed by 'sh' and and 'k' end with  'r',a.*sh.*[kr]
words that start with  'a' and followed by 'sh' and and 'na' end with  'i' or 'e',a.*sh.*(?:i|e|na)
words that start with  'a' and followed by 'sma' end with  'ni',a.*(?:sma|ni)
words that start with  'a' and followed by 'sh' or 'ch' end with  'a',a.*(?:a|sh|ch)
words that start with  'ach' and followed by 'm'or 'n' and 'b' and end with  'a',ach.*[mn].*b.*a
words that start with  'ach' and end with  'i' or 'y' or 'e',ach.*[iye]
words that start with  'ach' and followed by 'i' and 'd' and end with  't',ach.*i.*d.*t
